"entry","en","fr","es","pt"
"VU","Vulnerable","Vulnérable","Vulnerable","Vulnerável"
"LC","Least Concern","Préoccupation mineure","Preocupacion Menor","Pouco preocupação"
"CR","Critically Endangered","En danger critique","En Peligro Crítico","Criticamente em perigo"
"EN","Endangered","En danger","En Peligro","Em perigro"
"DD","Data Deficient","Données insuffisantes","Datos Insuficientes","Dados deficientes"
"NT","Near Threatened","Quasi menacée","Casi Amenazado","Quase ameaçado"
"EX","Extinct","Éteinte","Extinto","Extincto"
"EW","Extinct in the Wild","Éteinte à l’état sauvage","Extinto en Estado Silvestre","Extinto na natureza"
"NE","Not Evaluated","Non évaluée","No Clasificado","Não avaliado"
